"FileName";"Group";"Cepa";"Dieta";"ShortName"
"GSM2259098_NML2012082901.CEL";"LEW.STD";"LEW";"STD";"LEW.STD.1"
"GSM2259099_NML2012082902.CEL";"LEW.STD";"LEW";"STD";"LEW.STD.2"
"GSM2259100_NML2012082903.CEL";"LEW.STD";"LEW";"STD";"LEW.STD.3"
"GSM2259101_NML2012082904.CEL";"LEW.STD";"LEW";"STD";"LEW.STD.4"
"GSM2259102_NML2012082905.CEL";"LEW.STD";"LEW";"STD";"LEW.STD.5"
"GSM2259103_NML2012082906.CEL";"WKY.STD";"WKY";"STD";"WKY.STD.1"
"GSM2259104_NML2012082907.CEL";"WKY.STD";"WKY";"STD";"WKY.STD.2"
"GSM2259105_NML2012082908.CEL";"WKY.STD";"WKY";"STD";"WKY.STD.3"
"GSM2259106_NML2012082909.CEL";"WKY.STD";"WKY";"STD";"WKY.STD.4"
"GSM2259107_NML2012082910.CEL";"WKY.STD";"WKY";"STD";"WKY.STD.5"
"GSM2259108_NML2012082911.CEL";"LEW.CAF";"LEW";"CAF";"LEW.CAF.1"
"GSM2259109_NML2012082912.CEL";"LEW.CAF";"LEW";"CAF";"LEW.CAF.2"
"GSM2259110_NML2012082913.CEL";"LEW.CAF";"LEW";"CAF";"LEW.CAF.3"
"GSM2259111_NML2012082914.CEL";"LEW.CAF";"LEW";"CAF";"LEW.CAF.4"
"GSM2259112_NML2012082915.CEL";"LEW.CAF";"LEW";"CAF";"LEW.CAF.5"
"GSM2259113_NML2012082916.CEL";"WKY.CAF";"WKY";"CAF";"WKY.CAF.1"
"GSM2259114_NML2012082917.CEL";"WKY.CAF";"WKY";"CAF";"WKY.CAF.2"
"GSM2259115_NML2012082918.CEL";"WKY.CAF";"WKY";"CAF";"WKY.CAF.3"
"GSM2259116_NML2012082919.CEL";"WKY.CAF";"WKY";"CAF";"WKY.CAF.4"
"GSM2259117_NML2012082920.CEL";"WKY.CAF";"WKY";"CAF";"WKY.CAF.5"
